GEOLON,GEOLAT,STATION-NAME
66.44,25.12,Sonmiani
210.13,61.24,Anchorage
338.3,64.18,Leirvogur
17.83,59.35,Lovo
349.75,51.93,Valentia
5.68,50.3,Manhay
4.6,50.1,Dourbes
292.38,-17.28,Villa Remedios
354.27,-15.95,St. Helena
334.87,36.99,Santa Maria/Azoren
303.83,-16.68,Pantanal
11.28,48.17,Furstenfeldbruk
14.02,49.07,Budkov
275.09,10.44,Chiripa
39.25,-15.09,Nampula
256.3,31.0,Chengdu
16.66,45.41,Lonjsko Polje
29.72,60.54,Saint Petersburg
291.18,76.54,Thule Air Base
294.9,76.02,Savissivik
302.82,74.57,Kullorsuaq
303.85,72.78,Upernavik
307.87,70.68,Uummannaq
306.43,67.93,Attu
309.28,67.02,Kangerlussuaq
307.1,65.42,Maniitsoq
308.27,64.17,Nuuk
310.32,62.0,Paamiut
343.33,81.6,Nord
341.37,76.77,Danmarkshavn
339.78,74.3,Daneborg
338.03,70.48,Ittoqqortoormiit
322.37,65.6,Tasiilaq
322.38,73.93,Magic1 north
326.1,72.4,Magic1 east
317.41,72.0,Magic1 west
321.65,72.6,Magic2 GISP
313.71,66.48,Magic2 Raven
266.45,69.54,Taloyoak
248.75,65.75,Contwoyto Lake
220.89,64.05,Dawson City
256.32,58.22,Rabbit Lake
351.3,70.9,Jan Mayen
22.96,69.86,Alta
23.05,69.02,Kautokeino
13.54,68.13,Leknes
20.42,67.84,Kiruna
214.44,68.12,Arctic Village
208.45,66.9,Bettles
218.84,64.78,Eagle
209.9,63.3,Talkeetna
235.3,70.2,Cape Perry
212.57,65.12,Poker Flat
190.17,66.17,Wellen
40.5,64.6,Arkhangelsk
188.22,-13.8,Apia
116.2,40.3,Beijing Ming Tombs
150.7,-34.1,Canberra
259.08,29.49,Del Rio
172.4,-43.4,Eyrewell
343.57,28.32,Guimar
27.71,-25.88,Hartebeesthoek
29.06,41.07,Kandilli
140.18,36.23,Kakioka
144.19,43.91,Memambetsu
117.4,49.6,Manzaoli
166.78,-77.85,Scott Base
355.65,39.55,San Pablo Toledo
30.3,50.72,Kiev
30.7,59.95,Leningrad
62.12,45.77,Novokazalinsk
26.52,54.1,Minsk
30.88,46.22,Odessa
264.22,35.92,Tulsa
58.1,37.95,Ashkabad
355.95,39.88,Toledo
82.9,55.03,Novosibirsk
73.08,49.82,Karaganda
76.92,43.25,Alma Ata
69.62,41.33,Tashkent
23.75,49.9,Lvov
12.45,55.85,Rude Skov
37.32,55.48,Moscow
142.72,46.95,Yuzhno Sakhalinsk
58.05,80.62,Heiss Island
131.73,42.98,Popov Island
116.18,40.06,Beijing
112.63,-7.56,Watukosek
117.62,-33.68,Katanning
137.71,75.94,Kotelnyy
150.78,65.75,Zyryanka
142.27,44.37,Moshiri
130.72,31.48,Kagoshima
130.62,31.19,Yamakawa
142.3,27.15,Chichijima
134.5,7.33,Koror
143.62,-3.55,Wewak
141.88,-12.68,Weipa
139.21,-25.54,Birdsville
151.2,-27.18,Dalby
138.65,-34.67,Adelaide
170.7,-14.28,American Samoa
73.6,68.5,Cape Kamenniy
33.08,68.25,Lop
76.54,79.3,Vieze Island
294.2,66.1,Pangnirtung
291.4,70.5,Clyde River
283.4,64.2,Cape Dorset
276.0,64.35,Coral Harbour
264.15,68.63,Gjoa Haven
278.2,69.3,Igloolik
270.3,68.5,Pelly Bay
273.77,66.52,Repulse Bay
295.74,-65.25,Faraday Islands
139.8,33.12,Hatizyo
130.88,31.42,Kanoya
284.67,-12.05,Huancayo
299.61,-62.66,Livingston Island
294.68,-43.25,Trelew
182.62,28.21,Midway
32.58,-25.92,Maputo
124.95,1.29,Tondano
0.49,40.82,Ebro
260.82,19.75,Teoloyucan
147.5,-42.3,Lemont
143.76,43.48,Rikubetsu
285.0,44.7,Clarkson
283.12,39.17,Applied Physics Lab
278.6,36.25,Darsky
278.54,33.34,U of South Carolina
278.4,30.35,Jacksonville
279.05,28.07,Bullcreek
288.05,43.62,Grafton
288.52,42.6,Millstone Hill
352.98,62.05,Faroes
38.33,58.03,Borok
357.36,57.09,Crooktree
356.32,57.16,Gleenmore Lodge
339.44,63.77,Hella
17.63,59.5,Kvistaberg
357.23,54.01,Lancaster
13.36,64.37,Nordli
25.85,65.1,Oulu
358.95,53.95,York
290.5,-18.33,Putre
289.76,-23.39,Antofagasta
288.87,-30.0,La Serena
289.4,-33.45,Los Cerrillos
286.86,-39.48,Valdivia
286.91,-40.34,Osorno
289.1,-53.2,Puerto Natales
301.08,-62.18,Escudero
302.1,-63.32,OHiggins
289.91,-40.34,Punta Arenas
289.1,-52.13,San Gregorio
238.15,56.25,Fort St. John
246.7,53.3,Edmonton
243.98,58.37,Fort Vermilion
247.13,49.64,Lethbridge
246.16,52.14,Red Deer
245.87,51.07,Rothney
253.6,52.8,Saskatoon
282.24,48.19,Val-dOr
166.67,-77.85,McMurdo Station
0.0,-90.0,South Pole Station
34.95,29.67,Eilat
113.34,23.09,Guangzhou
30.89,29.52,Misallat
295.95,-64.77,Palmer
210.13,61.24,HLMS
209.53,59.7,Homer
150.24,62.67,Trapper
35.09,31.72,Bar Gyora
141.36,39.24,Esashi
20.77,44.63,Grocka
48.85,55.83,Zaymishche
141.2,39.11,Mizusawa
354.06,36.67,San Fernando
8.33,48.33,Black Forest
34.52,52.69,MSK
336.58,-77.51,m78-337
335.88,-79.08,m79-336
337.74,-80.89,m81-338
2.97,-81.49,m82-003
347.76,-82.9,m83-348
336.14,-84.35,m84-336
2.06,-85.36,m85-002
95.98,-85.36,m85-096
28.41,-87.0,m87-028
68.17,-86.51,m87-069
316.13,-88.03,m88-316
291.88,-67.57,m67-292
263.55,46.87,Glyndon
266.75,45.56,Cambridge
264.4,43.6,Worthington
263.84,41.36,Bennington
263.7,38.5,Americus
262.6,35.0,Purcell
263.25,32.98,Richardson
261.39,29.44,San Antonio
262.2,26.4,Lyford
260.4,24.8,Linares
256.9,20.7,Juriquilla
296.52,-64.82,m65-297
294.0,-66.03,m66-294
41.08,-68.58,m68-041
41.32,-69.29,m69-041
39.4,-69.67,m70-039
44.28,-70.7,m70-044
159.03,-72.77,m73-159
42.99,-74.01,m74-043
39.71,-77.32,m77-040
77.77,-71.67,m72-078
77.0,-80.0,m80-077
347.06,-82.78,m83-347
3.0,-81.0,m81-003
100.32,-0.2,Kototabang
211.2,70.36,Jim Carrigan
265.79,57.71,Back Lake
239.97,51.88,Wells Gray
247.02,50.37,Vulcan
248.89,58.77,Fort Chipewyan
251.74,50.06,Gull Lake
264.54,52.03,Little Grand Rapids
247.03,53.35,Ministik Lake
233.31,65.26,Norman Wells
245.79,47.66,Polson
264.92,45.87,Osakis
264.71,54.93,Oxford House
263.64,48.03,Thief River Falls
256.2,49.69,Weyburn
276.1,42.42,Ann Arbor
275.31,46.48,Bay Mills
240.2,39.19,Carson City
287.87,44.95,Derby
259.32,46.09,Fort Yates
245.33,47.61,Hot Springs
281.62,40.18,Loysburg
257.41,43.08,Pine Ridge
227.05,56.81,Petersburg
274.86,43.66,Remus
271.3,44.82,Shawano
241.07,45.14,Ukiah
242.15,34.2,San Gabriel
242.32,34.38,Table Mountain
299.54,53.3,Goose Bay
291.6,58.1,Kuujjuaq
285.58,49.81,Chibougamau
280.8,56.5,Sanikiluaq
277.68,49.39,Kapuskasing
259.06,53.99,Flin Flon/The Pas
249.33,64.73,Ekati
249.14,63.6,Snap Lake
237.17,53.81,Prince George
209.58,62.24,Trapper Creek
204.4,62.95,McGrath
199.56,66.97,Kiana
245.7,50.87,Priddis
29.73,40.5,Iznik
15.6,77.0,Hornsund
234.77,71.98,Sachs Harbour
23.86,41.35,Nevrokopi
21.97,39.45,Klokotos
24.1,38.63,Kimi
23.93,38.08,Dionyssos
22.95,36.72,Velies
260.03,49.87,Brandon
274.1,80.0,Eureka
58.57,56.43,Arti
124.86,44.08,Changchun
126.85,36.37,Cheongyang
14.28,41.39,Duronia
73.15,0.69,Gan
75.8,26.92,Jaipur
134.69,47.61,Khabarovsk
315.26,-60.74,Orcadas
23.9,38.1,Pedeli
158.25,52.97,Paratunka
294.47,-31.4,Pilar
87.71,43.81,Urumqi
24.75,56.21,Birzai
23.18,54.01,Suwalki
19.61,52.91,Szczechowo
20.58,50.28,Zagorzyce
18.84,48.49,Vyhne
15.52,47.55,Conrad Observatorium
16.66,45.41,Lonjsko Polje
20.67,-32.4,Sutherland
2.93,36.85,Algeria
11.52,3.87,Cameroon
39.46,14.28,Ethiopia
17.58,-19.2,Namibia
346.34,9.58,Conakry
120.0,14.58,Manila
319.5,-9.4,Petrolina
311.55,-1.45,Belem
100.61,14.08,Bangkok
98.35,7.89,Phuket
29.38,60.27,Gorkovskaya
14.21,78.06,Barentsburg
76.23,-69.23,Progress
11.83,-70.78,Novolazorevskaya
293.19,54.8,Schefferville
351.7,-70.7,Neumayer Station III
129.33,28.17,Amami-Oshima
282.85,-11.77,Ancon
142.17,43.46,Ashibetu
32.51,23.5,Aswan
105.71,9.3,Bac_Lieu
102.31,-3.86,Bengkulu
124.63,8.4,CagayanDeOro
123.91,10.36,Cebu
145.25,-15.48,Cooktown
150.67,-34.06,Camden
39.12,-6.46,Dal Es Salaam
30.56,-29.48,Durban
321.57,-3.88,Eusebio
35.5,29.18,Fayum
97.34,1.18,Gunung Sitoli
121.55,23.9,Hualien
91.67,48.01,Khovd
284.25,-14.08,Ica
4.68,8.5,Ilorin
281.7,0.0,Alem Ecua
140.7,2.51,Jayapura
123.4,-10.2,Kupang
13.02,33.37,Khartoum
131.23,33.06,Kuju
3.27,6.48,Lagos
123.74,13.1,Legazpi
99.78,6.3,Langkawi
28.19,-15.23,Lusaka
104.06,-5.02,Liwa
145.18,-38.36,Melbourne
124.84,1.44,Manado Indon
36.48,-1.16,Nairobi
119.4,-3.6,ParePare
158.25,52.94,St.Paratunka
150.31,-23.19,Rockhampton
116.07,6.02,Jayapura
100.3,-0.55,Sicincin
121.76,17.66,Tuguegarao
76.95,8.48,Tirunelveli
256.1,51.9,Wadena
306.28,-29.72,Santa Maria
20.2,54.5,Kaliningrad
283.15,39.1,Laurel
208.74,60.55,Kenia College
267.03,45.59,Hrisis
255.39,38.25,Pblolo
237.83,37.42,Stfdford
132.41,47.8,Baranov
275.3,49.2,Hornepayne
252.9,51.0,Lucky Lake
207.6,57.79,Kodkak
210.4,66.63,Toolik Lake
284.56,37.88,Wlpsops Island
26.41,65.9,Ranua
252.8,52.5,ParkSite
237.2,58.9,Fort Nelson
147.21,-41.55,Launceston
167.97,-29.03,Norfolk Island
141.3,-2.7,Vanimo
111.53,-66.28,Casey2
77.96,-68.58,Davis2
24.65,60.5,Nurmijarvi2
